unix,low,high,open,close,volume,date
1633824000,54112.95,56545.24,54963.29,54690.53,9370.1912382,2021-10-10
1633737600,53675.0,55500.0,53965.18,54962.29,7123.05512404,2021-10-09
1633651200,53634.41,56113.0,53805.46,53963.82,12416.9019906,2021-10-08
1633564800,53379.0,55356.85,55346.95,53797.82,15820.83417633,2021-10-07
1633478400,50416.01,55757.11,51499.77,55339.48,25869.64925998,2021-10-06
1633392000,49057.18,51906.23,49244.13,51493.99,17828.59726658,2021-10-05
1633305600,46916.7,49505.0,48233.99,49245.54,13938.64182971,2021-10-04
1633219200,47120.11,49300.0,47663.74,48233.99,7989.25925892,2021-10-03
1633132800,47451.0,48359.33,48165.76,47657.69,7262.63442143,2021-10-02
1633046400,43287.44,48500.0,43828.89,48165.76,20095.33155568,2021-10-01
1632960000,41409.67,44110.17,41519.11,43824.43,12835.9838101,2021-09-30
1632873600,40750.12,42638.99,41030.19,41522.16,10303.30152312,2021-09-29
1632787200,40897.7,42780.0,42166.31,41026.07,10491.81363045,2021-09-28
1632700800,42111.0,44366.96,43172.17,42171.76,10094.77099806,2021-09-27
1632614400,40803.0,43937.0,42705.51,43178.02,9971.64545213,2021-09-26
1632528000,41675.0,42998.76,42848.44,42705.51,7383.32390261,2021-09-25
1632441600,40683.29,45200.0,44896.55,42848.92,22451.57711462,2021-09-24
1632355200,43096.73,45000.0,43575.19,44897.59,13446.87468684,2021-09-23
1632268800,40570.42,44035.44,40736.81,43575.1,19462.53865157,2021-09-22
1632182400,39600.0,43639.88,43007.69,40719.6,27275.33818249,2021-09-21
1632096000,42500.0,47358.92,47253.71,43012.97,27706.67636162,2021-09-20
1632009600,46850.87,48379.19,48309.86,47255.92,7086.34626236,2021-09-19
1631923200,47050.0,48825.62,47306.87,48314.56,7491.03449237,2021-09-18
1631836800,46752.67,48176.64,47753.15,47303.5,9088.56956453,2021-09-17
1631750400,47020.82,48499.99,48144.03,47753.16,11739.27966629,2021-09-16
1631664000,46705.0,48475.0,47127.81,48148.12,12139.84206628,2021-09-15
1631577600,44679.92,47274.92,44953.23,47127.22,12644.16435358,2021-09-14
1631491200,43465.0,46900.0,46027.8,44947.72,15015.30289712,2021-09-13
